id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Tizita Bel,Mahmoud Ahmed,tizita,nostalgic,0.44,88,0.55,0.49,0.85
12,Antchi Hoye,Tilahun Gessesse,tizita,melancholic,0.40,84,0.38,0.45,0.88
13,Eskista Night,Aster Aweke,eskista,energetic,0.82,118,0.80,0.88,0.42
14,Addis Groove,Hailu Mergia,ethio-jazz,chill,0.38,90,0.62,0.53,0.80
15,Yekermo Sew,Mulatu Astatke,ethio-jazz,moody,0.42,86,0.48,0.50,0.78
16,Sheger Belen,Teddy Afro,ethio-pop,happy,0.78,116,0.85,0.82,0.38
17,Habesha Wedding,Bezawork Asfaw,gurage,uplifting,0.88,124,0.87,0.90,0.30
18,Aseye,Gigi,ethio-pop,peaceful,0.35,80,0.70,0.48,0.88
19,Bati Swing,Selamnesh Zemene,tizita,relaxed,0.46,92,0.60,0.52,0.82
20,Desert Son,Al Moulouk,arabic,moody,0.55,100,0.43,0.59,0.65
